NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
900491889,masser s.a.s,supersociedades,costa atlántica,atlantico,barranquilla-atlantico,"4,731",comercio,1.62,0.0,0.06,0.05,0.01,2022
900118612,ci meprecol sa,supersociedades,antioquia,antioquia,medellin-antioquia,"4,662",comercio,1.32,0.01,0.03,0.0,0.03,2022
900114676,minex compañia internacional sas ci,supersociedades,centro - oriente,norte de santander,cucuta-norte de santander,"4,661",comercio,1.08,0.03,0.16,0.15,0.01,2022
900891350,goam 1 c.i s.a.s,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,661",comercio,1.06,-0.0,0.15,0.15,0.0,2022
900237877,c.i. cargill de colombia ltda,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,620",comercio,0.97,-0.01,0.18,0.08,0.1,2022
900147693,ecodiesel colombia sa,supersociedades,centro - oriente,santander,bucaramanga-santander,"2,029",manufactura,0.94,0.08,0.23,0.12,0.11,2022
900047822,petrobras colombia combustibles s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,661",comercio,0.93,-0.01,0.17,0.08,0.1,2022
890902070,c.i.j gutierrez y cia s.a,supersociedades,antioquia,antioquia,medellin-antioquia,"4,669",comercio,0.9,0.0,0.1,0.03,0.07,2022
811043174,zeuss s a s,supersociedades,antioquia,antioquia,medellin-antioquia,"4,661",comercio,0.86,0.01,0.16,0.09,0.07,2022
900294369,comercial card sas,supersociedades,antioquia,antioquia,medellin-antioquia,"6,209",servicios,0.82,0.01,0.04,0.03,0.01,2022
830112215,world fuel services company llc sucursal colombia,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,731",comercio,0.74,-0.01,0.17,0.12,0.05,2022
901180357,osprey metals sas,supersociedades,antioquia,antioquia,rionegro-antioquia,"2,421",manufactura,0.72,-0.0,0.07,0.07,0.0,2022
860058831,avicola los cambulos s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,145,agropecuario,0.71,0.0,0.17,0.14,0.04,2022
840000922,c.i. top sa,supersociedades,costa pacífica,valle,cali-valle,"4,610",comercio,0.7,0.0,0.13,0.12,0.01,2022
807005015,sociedad de comercializacion internacional excomin sas bic,supersociedades,centro - oriente,norte de santander,cucuta-norte de santander,"4,661",comercio,0.65,-0.05,0.1,0.1,0.0,2022
800058607,controles empresariales sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,651",comercio,0.64,0.02,0.2,0.13,0.07,2022
900497906,puma energy colombia combustibles sas,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"4,661",comercio,0.64,-0.0,0.18,0.08,0.1,2022
830513238,"conexred s,a,s",supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"6,190",servicios,0.64,0.02,0.13,0.11,0.02,2022
900459737,grupo eds autogas sas,supersociedades,antioquia,antioquia,envigado-antioquia,"4,731",comercio,0.64,0.03,0.15,0.04,0.11,2022
900397839,compañia dsierra sa.,supersociedades,bogotá - cundinamarca,cundinamarca,funza -cundinamarca,"4,631",comercio,0.63,0.02,0.23,0.15,0.08,2022
800230447,sodexo,supersociedades,bogotá - cundinamarca,bogota d.c.,bogota d.c.-bogota d.c.,"5,619",servicios,0.63,0.02,0.18,0.14,0.04,2022
901370428,supermercados mercacentro sas,supersociedades,otros,tolima,ibague-tolima,"4,711",comercio,0.61,0.01,0.16,0.08,0.09,2022
